	PHB	PHA	PHO	PCL	PVA	PU	PPL	P3HP	P4HB	PEA	PES	O-PVA	PBS	PLA	P(3HB-co-3MP)	PEG	PHBV	PHPV	Nylon	PBSA	PET	PE	PBS-Blend	PBSA-Blend	P3HV	PBAT	PEF	PMCL	LDPE	PS	NR
ERR3586967	48.17305434933905	65.8883065939347	0.0	45.583105190772436	0.0	10.463394600609126	0.0	0.0	0.0	0.0	36.00029330407595	0.0	36.00029330407595	45.6867031571151	0.0	250.96607346510504	17.71525224459565	0.0	8.598631206441164	38.6420414458139	10.463394600609126	5.0245013676192345	0.0	0.0	17.71525224459565	80.23662493239375	0.0	0.0	2.0719593268532925	2.0719593268532925	0.0
ERR3586968	39.64775555941645	48.458367905953445	0.6434716882302296	3.5638431963520407	1.0394542656026786	14.403866251922832	0.5939738660586734	0.5939738660586734	0.5939738660586734	0.5939738660586734	2.920371508121811	0.0	0.0	25.63987188486607	0.0	317.7760183413903	8.662118880022321	0.4949782217155612	27.966269526929207	5.2467691501849485	30.936138857222574	0.4949782217155612	0.0	0.0	5.840743016243622	29.500702014247448	0.0	0.0	4.751790928469387	0.0	0.09899564434311224
ERR3586969	17.60337869405682	21.96384864579566	0.0	4.844966613043161	1.2112416532607901	5.894709379202512	0.0	0.0	0.0	0.0	1.2919910968115096	0.0	0.6863702701811144	13.68703068184693	0.0	198.88587946542174	4.360469951738844	0.0	16.795884258549624	4.562343560615643	10.214804609165997	0.3229977742028774	0.0	0.0	3.5933502380070106	12.23354069793398	0.1614988871014387	0.0	1.090117487934711	1.130492209710071	0.1614988871014387
ERR3586970	18.16647876825103	28.238049898835797	0.0	3.3885659878602956	2.0237269094165655	4.941658732296264	0.0	0.0	0.0	0.0	2.494361074397162	0.0	0.9412683299611933	23.86115216451625	0.0	349.58705774758715	10.071571130584767	0.0	41.32167968529638	5.412292897276861	17.507590937278195	0.3765073319844773	0.0	0.0	8.518478386148798	23.437581416033712	0.0	0.0	4.5651514003117875	3.341502571362236	0.0
ERR3586971	27.378026320960725	37.732536275683046	0.0	4.808704623040537	0.6669006411516074	8.213407896288217	0.0	0.10530010123446433	0.10530010123446433	0.10530010123446433	2.457002362137501	0.0	0.8424008098757146	26.465425443595368	0.0	294.06808271411404	10.354509954722324	0.0	34.60863327239394	8.845208503695003	25.482624498740368	0.38610037119303586	0.0	0.0	8.845208503695003	19.059318323438042	0.0	0.0	2.316602227158215	5.721305500405895	0.21060020246892866
ERR3586972	3.929431061269333	6.217454210869198	0.0	2.7854194864694004	0.0	5.919016408747476	0.0	0.0	0.0	0.0	1.0942719411129787	0.0	0.0	15.319807175581703	0.0	223.927830858665	2.2880231495998644	0.0	2.387502416973772	3.531513991773704	13.230742560729652	0.0	0.0	0.0	1.193751208486886	17.010954720938123	0.0	0.0	1.5916682779825144	4.227868863391055	0.1989585347478143
ERR3586973	4.547291220806226	7.381966267542576	0.0	3.8386224591221394	0.23622292056136243	3.9567339194028204	0.0	0.0	0.0	0.0	2.0078948247715807	0.0	0.8267802219647684	9.389861092314156	0.0	305.3771805557013	2.834675046736349	0.0	3.602399538560777	3.9567339194028204	7.441021997682916	2.362229205613624	0.0	0.0	1.6535604439295368	11.6339788376471	0.0	0.0	0.885835952105109	0.11811146028068122	0.1771671904210218
ERR3586974	22.287997865786085	29.11280235145506	0.0	9.592907004331913	0.8113403934012066	7.588418973575991	0.14317771648256586	0.0	0.0	0.0	2.4817470856978083	0.0	0.6681626769186407	20.140332118547597	0.0	307.9752681539992	6.824804485668973	0.0	4.677138738430485	11.692846846076213	10.117891964767988	11.645120940582023	0.0	0.0	4.7725905494188625	12.50418723947742	0.2863554329651317	0.0	4.056701967006033	0.38180724395350896	0.04772590549418862
ERR3586975	10.505433180330602	18.302148397788507	0.0	5.490644519336552	0.3660429679557701	9.151074198894253	0.07320859359115403	0.10981289038673103	0.10981289038673103	0.10981289038673103	2.0132363237567357	0.0	1.0981289038673103	16.65495504198754	0.0	201.94590542119838	7.760110920662327	0.0	5.051392957789628	4.026472647513471	14.422092937457343	0.036604296795577015	0.0	0.0	6.588773423203862	19.034234333700045	0.07320859359115403	0.0	4.648745693038281	0.21962578077346206	0.47585585834250116
ERR3586976	5.103357818018413	14.699889367118256	0.0	4.215817327928255	0.11094256126126986	18.250051327478893	0.0	0.0	0.0	0.0	3.3282768378380956	0.0	0.22188512252253972	28.123939279731907	0.0	584.7782404081535	9.596531549099842	0.0	5.602599343694128	4.604116292342699	51.865647389643655	0.0	0.0	0.0	6.490139833784286	51.421877144598575	0.0	0.0	1.4422532963965082	0.5547128063063492	0.0
ERR3586977	6.48406338111733	15.015725724692762	0.0	29.519551708770997	0.05687774895716956	30.65710668791439	0.0	0.28438874478584775	0.28438874478584775	0.28438874478584775	6.7115743769460074	0.0	0.8531662343575434	22.580466335996313	0.0	368.11279125080137	8.474784594618264	0.0	1.7632102176722562	8.076640351918076	32.477194654543815	0.0	0.0	0.0	2.55949870307263	20.64662287145255	0.17063324687150866	0.0	6.029041389459973	2.6163764520297996	0.28438874478584775
ERR3586978	12.15126991048212	17.632268253082565	0.0	15.563966991723905	0.20683012613586588	22.80302140647921	0.0	0.0	0.0	0.0	2.4819615136303903	0.0	1.7063485406208934	20.683012613586587	0.0	484.9132307255375	5.480998342600445	0.0	3.51611214430972	4.395140180387149	34.488923533155635	0.10341506306793294	0.0	0.0	3.9297723965814515	33.66160302861217	0.672197909941564	0.0	2.688791639766256	0.20683012613586588	0.0
ERR3586979	58.58743580120387	68.09376026644567	0.2512684880680652	3.3921245889188802	2.680197206059362	8.459372431624862	0.08375616268935507	0.2512684880680652	0.2512684880680652	0.2512684880680652	1.256342440340326	0.0	0.3350246507574203	15.034231202739234	0.0	195.9056645304015	9.422568302552445	0.2512684880680652	4.187808134467753	3.7271492396763004	13.442864111641487	0.6700493015148405	0.0	0.0	8.50125051296954	16.499964049802948	0.0	0.0	5.486028656152757	0.16751232537871014	0.4187808134467753
ERR3586980	15.827395046222097	19.769749856270092	0.05797580603011757	3.942354810047995	0.6957096723614108	7.710782202005637	0.0	0.0	0.0	0.0	0.811661284421646	0.0	0.5217822542710582	12.290870878384926	0.05797580603011757	190.85635345114704	3.942354810047995	0.05797580603011757	4.232233840198583	3.3046209437167016	11.885040236174103	1.0435645085421164	0.0	0.0	3.5365241678371717	13.508362805017393	0.0	0.0	7.073048335674343	0.2319032241204703	1.4493951507529392
ERR3586981	34.8256628639077	42.32316225753879	0.0	3.3716565320471155	2.972381416409957	5.501123815445293	0.0	0.2661834104247723	0.2661834104247723	0.2661834104247723	1.2421892486489372	0.0	0.1774556069498482	11.578978353477593	0.13309170521238614	198.39536856993027	7.541863295368548	0.0	3.992751156371584	3.815295549421736	9.272055463129567	21.339036735719244	0.0	0.0	6.6545852606193066	10.558608613515966	0.0	0.0	3.1054731216223432	0.5767307225870065	0.13309170521238614
ERR3586982	10.22490251106404	11.53020921460413	0.0	2.8281645243368616	0.21755111725668166	6.744084634957132	0.0	0.0	0.0	0.0	1.30530670354009	0.0	1.0877555862834083	11.53020921460413	0.0	201.23478346243056	1.30530670354009	0.0	2.61061340708018	1.957960055310135	10.44245362832072	0.0	0.0	0.0	1.0877555862834083	10.44245362832072	0.0	0.0	2.61061340708018	0.0	0.0
ERR3586983	11.101094331074966	13.8456453280566	0.08192689543228758	3.1951489218592153	0.8602324020390195	6.513188186866862	0.20481723858071893	0.20481723858071893	0.20481723858071893	0.20481723858071893	1.556611013213464	0.0	0.6963786111744444	10.896277092494248	0.08192689543228758	242.74939116586808	2.70358754926549	0.04096344771614379	3.277075817291503	2.744550996981634	11.183021226507254	0.3277075817291503	0.0	0.0	1.9662454903749018	13.313120507746731	0.04096344771614379	0.0	2.6216606538332026	0.16385379086457516	0.20481723858071893
ERR3586984	12.09049451857567	19.27245493772959	0.0	3.926827279537397	1.1883819398600017	7.336966759135662	0.051668779993913116	0.15500633998173935	0.15500633998173935	0.15500633998173935	1.5500633998173936	0.0	0.15500633998173935	16.017321798113066	0.0	380.9022461151275	7.181960419153923	0.0	5.941909699300009	2.8417828996652212	16.37900325807046	0.0	0.0	0.0	5.890240919306096	20.822518337546985	0.051668779993913116	0.0	2.635107779689569	0.6200253599269574	0.9817068198843493
ERR3586985	7.999079276252836	22.33245483217797	0.0	3.2483570664986137	0.0	10.881996172770355	0.0	0.0	0.0	0.0	1.461760679924376	0.0	0.1624178533249307	45.1115587609995	0.0	584.2576228731069	14.333375555925134	0.0	4.872535599747921	2.3550588732114948	32.48357066498614	0.0	0.0	0.0	13.034032729325688	42.10682847448828	0.0	0.0	6.090669499684901	1.1369249732745148	0.8526937299558861
ERR3586986	24.278607337771994	39.55457671975941	0.0	2.892250202989617	0.7332465303353959	10.224715506343575	0.0	0.0	0.0	0.0	1.3442853056148925	0.0	0.9776620404471944	50.71621834819821	1.2628134689109596	420.92424433086916	15.275969381987412	0.0	9.81735632282391	4.603158773772207	27.333801214169476	1.8331163258384895	0.0	0.0	14.216835504836286	41.71358039241363	0.5295669385755637	0.0	1.7109085707825902	2.607098774525852	0.36662326516769794
ERR3586987	4.500186677971099	5.727510317417763	0.0	0.0	0.0	16.227945899350328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.045788303039238	0.0	67.63916946283834	1.2273236394466633	0.0	1.909170105805921	3.9547095048836933	7.909419009767387	0.0	0.0	0.0	1.2273236394466633	8.045788303039238	0.0	0.0	2.4546472788933267	0.0	0.0
ERR3586988	19.787304259344175	26.08511156981306	0.0	3.73805337137508	0.0	5.119507878187609	0.0	0.0	0.0	0.0	1.0564063875625227	0.0	0.0	31.24525046290692	0.0	449.0539767438846	6.297807310468885	0.0	9.426395458250202	4.18499453534384	20.356138468031688	0.0	0.0	0.0	5.2414009229063625	33.64248034237572	0.0	0.0	11.011005039593986	23.68788169034426	0.0
